,logFC,AveExpr,t,P.Value,adj.P.Val,B,abs.log2FC
Fabp1,2.6352532,,,1.1982316181827404e-14,2.1056524226325295e-10,,2.6352532
Agt,2.5512872,,,1.2314825670740139e-05,0.10820421575595822,,2.5512872
Hmgcs2,1.2766944,,,0.0004902387147380507,1.0,,1.2766944
Dag1,1.2920663,,,0.0005237312400003528,1.0,,1.2920663
Lyz1,1.0108408,,,0.0007139769063740518,1.0,,1.0108408
Lrrc59,1.2536482,,,0.00123212809296261,1.0,,1.2536482
Itln1,0.6685507,,,0.0015163407512980948,1.0,,0.6685507
Gstp1,0.9964267,,,0.001587197374834599,1.0,,0.9964267
Blvrb,0.87699664,,,0.001661090990884337,1.0,,0.87699664
Pnliprp2,0.78423667,,,0.0018459819157241697,1.0,,0.78423667
Galnt4,1.5502995,,,0.0023074485971617104,1.0,,1.5502995
Ddx21,1.3482696,,,0.002594683882637907,1.0,,1.3482696
Rnaseh2c,1.1743895,,,0.00283117010989756,1.0,,1.1743895
Cps1,0.7911767,,,0.003087183891764388,1.0,,0.7911767
Lrrfip2,2.1887002,,,0.003177103733442844,1.0,,2.1887002
H13,0.7566469,,,0.0032229530760717303,1.0,,0.7566469
Fabp2,0.6800804,,,0.0035865054942346808,1.0,,0.6800804
Nop56,0.86956096,,,0.004187427321928161,1.0,,0.86956096
Nfib,1.0727326,,,0.00421679607934282,1.0,,1.0727326
Mrpl41,1.097346,,,0.00421679607934282,1.0,,1.097346
Gm14851,1.6308947,,,0.004246351551486064,1.0,,1.6308947
Slc22a1,1.745266,,,0.004396966240907838,1.0,,1.745266
Asns,0.987078,,,0.004458555928861141,1.0,,0.987078
Eif2s3x,1.7799313,,,0.004778389463397972,1.0,,1.7799313
Mrps26,0.7528306,,,0.005261060825505875,1.0,,0.7528306
Hspd1,0.73898137,,,0.00582670261385944,1.0,,0.73898137
Hook1,0.7309864,,,0.005946203309070981,1.0,,0.7309864
Bccip,0.610408,,,0.006800926462037216,1.0,,0.610408
Upf1,2.0597465,,,0.007172655724151851,1.0,,2.0597465
Chmp6,2.0261273,,,0.007463314058747631,1.0,,2.0261273
Jagn1,0.6499435,,,0.0075625218966515325,1.0,,0.6499435
Ogdh,0.872146,,,0.0075625218966515325,1.0,,0.872146
Cyb561d2,2.1795204,,,0.007662910457522235,1.0,,2.1795204
Pold2,1.2365805,,,0.008076514561706289,1.0,,1.2365805
Ldha,0.62897426,,,0.008399715780002058,1.0,,0.62897426
Pgam1,0.9423866,,,0.008621561759189232,1.0,,0.9423866
Lpcat3,1.1887478,,,0.009081027076928512,1.0,,1.1887478
Tmem167,0.82706714,,,0.009379176735232158,1.0,,0.82706714
Lamp2,0.74187726,,,0.00943984406362424,1.0,,0.74187726
Sdhaf1,1.1143818,,,0.010001796977311198,1.0,,1.1143818
Zdhhc6,1.6193002,,,0.01019562947644282,1.0,,1.6193002
Pdss1,2.9263625,,,0.01019562947644282,1.0,,2.9263625
Iscu,0.7621708,,,0.010326702101203128,1.0,,0.7621708
Cd302,2.9070103,,,0.01072896311911966,1.0,,2.9070103
Sar1b,0.6520629,,,0.011004819189915338,1.0,,0.6520629
Aqp1,0.8038848,,,0.011004819189915338,1.0,,0.8038848
Acot1,1.0202688,,,0.011430423371897057,1.0,,1.0202688
Cdc26,0.68868566,,,0.011502760595846017,1.0,,0.68868566
Cdk2ap1,1.0991963,,,0.011648654938148997,1.0,,1.0991963
Anp32b,0.6710158,,,0.011870575085987675,1.0,,0.6710158
Hars,1.5354013,,,0.012020596908553841,1.0,,1.5354013
